Обработка,Интервью с руководителем,СБ,Оформление
0 days 00:00:38,0 days 00:00:01,0 days 04:33:01,3 days 20:23:07
0 days 00:00:53,7 days 04:32:45,0 days 22:03:44,49 days 00:45:53
0 days 00:00:24,0 days 00:00:01,0 days 04:24:38,4 days 00:31:28
0 days 00:00:33,0 days 00:00:01,0 days 03:44:36,10 days 04:15:53
0 days 00:00:22,0 days 00:00:01,0 days 03:23:02,6 days 05:47:50
0 days 00:00:16,0 days 00:00:01,0 days 03:15:58,41 days 04:49:39
0 days 00:00:10,0 days 00:00:01,0 days 03:07:32,6 days 06:11:02
0 days 00:00:53,0 days 00:00:02,0 days 03:00:56,3 days 03:55:37
0 days 00:00:17,0 days 00:00:01,0 days 03:05:48,7 days 20:22:45
0 days 00:00:18,0 days 00:00:01,0 days 02:58:59,3 days 21:07:20
0 days 00:00:31,0 days 00:00:01,0 days 02:33:26,3 days 04:40:29
0 days 00:00:19,0 days 00:00:01,0 days 02:39:35,21 days 08:08:39
0 days 00:00:20,0 days 00:00:01,0 days 02:32:13,12 days 00:19:00
0 days 00:00:17,0 days 00:00:01,0 days 02:29:44,12 days 00:22:37
0 days 00:02:12,0 days 00:00:01,0 days 02:28:42,17 days 07:36:01
0 days 00:00:19,0 days 00:00:01,0 days 02:23:49,4 days 02:22:43
0 days 00:00:23,0 days 09:36:17,0 days 15:19:27,5 days 22:15:20
0 days 00:00:22,0 days 00:00:01,0 days 02:12:31,11 days 00:05:23
0 days 00:00:15,0 days 00:00:01,0 days 02:07:47,18 days 05:12:22
0 days 00:00:23,0 days 00:00:01,0 days 01:59:44,3 days 03:50:00
0 days 00:00:22,0 days 00:00:01,0 days 02:01:00,11 days 22:05:35
0 days 00:00:21,0 days 00:00:01,0 days 02:03:40,6 days 08:01:49
0 days 00:00:29,0 days 00:00:01,0 days 01:59:10,6 days 04:42:22
0 days 00:00:21,0 days 00:00:01,0 days 02:22:15,3 days 04:37:49
0 days 00:00:13,1 days 00:40:19,0 days 03:46:32,11 days 17:33:44
0 days 00:00:50,0 days 00:00:01,0 days 02:17:34,6 days 02:13:29
0 days 00:00:58,0 days 00:00:01,0 days 02:09:56,12 days 03:48:50
0 days 00:00:35,0 days 00:00:01,0 days 02:12:31,12 days 01:45:54
0 days 00:00:10,4 days 02:22:31,0 days 02:51:02,6 days 19:50:32
0 days 00:00:17,0 days 00:00:01,0 days 02:09:00,10 days 00:29:03
0 days 00:00:20,0 days 00:00:01,0 days 02:10:04,25 days 03:17:51
0 days 00:00:13,0 days 00:00:01,0 days 02:00:36,6 days 00:10:39
0 days 00:00:21,0 days 00:00:01,0 days 01:52:51,3 days 20:22:22
0 days 00:01:02,0 days 00:00:01,0 days 01:52:50,10 days 23:22:05
0 days 00:00:34,0 days 00:00:01,0 days 01:53:16,3 days 05:16:31
0 days 00:00:20,0 days 00:00:01,0 days 01:48:21,6 days 05:00:13
0 days 00:00:23,0 days 00:00:01,0 days 01:49:10,9 days 18:19:11
0 days 00:00:15,0 days 00:00:01,0 days 01:37:32,5 days 01:01:13
0 days 00:00:27,4 days 04:15:11,0 days 18:20:22,7 days 18:58:27
0 days 00:01:20,0 days 00:00:01,0 days 03:35:28,11 days 03:50:18
0 days 00:00:18,0 days 00:00:00,0 days 03:20:03,4 days 02:34:03
0 days 00:00:23,0 days 00:00:01,0 days 03:13:20,3 days 03:42:22
0 days 00:00:18,0 days 00:00:01,0 days 03:15:48,3 days 04:53:43
0 days 00:00:18,0 days 00:00:01,0 days 03:11:00,6 days 07:01:48
0 days 00:00:23,0 days 00:00:01,0 days 05:42:42,3 days 03:50:59
0 days 00:00:25,0 days 00:00:01,0 days 03:02:14,6 days 04:04:30
0 days 00:00:20,0 days 00:00:01,0 days 03:04:42,6 days 19:45:06
0 days 00:00:22,0 days 00:00:01,0 days 03:15:46,10 days 03:11:03
0 days 00:00:19,0 days 00:00:02,0 days 03:02:53,3 days 20:56:50
0 days 00:01:33,4 days 00:07:13,0 days 03:53:51,8 days 21:47:03
0 days 00:00:21,0 days 00:00:01,0 days 03:00:36,19 days 21:09:09
0 days 00:00:17,0 days 00:00:01,0 days 02:53:59,3 days 04:24:37
0 days 00:00:16,0 days 00:00:01,13 days 03:09:10,0 days 00:00:17
0 days 00:00:31,0 days 00:00:01,0 days 02:52:26,7 days 01:16:54
0 days 00:00:20,0 days 00:00:01,0 days 02:52:16,4 days 01:27:08
0 days 00:44:31,0 days 00:00:01,0 days 02:04:31,11 days 01:39:20
0 days 00:00:20,0 days 00:00:01,0 days 02:53:21,12 days 01:06:08
0 days 00:00:19,0 days 04:58:13,0 days 02:08:29,6 days 04:52:16
0 days 00:01:43,0 days 00:00:01,0 days 02:39:14,3 days 19:53:28
0 days 00:00:28,22 days 04:58:02,2 days 20:46:46,1 days 01:13:39
0 days 00:02:03,3 days 22:40:37,0 days 04:05:54,3 days 19:57:51
0 days 00:00:36,0 days 00:00:00,0 days 02:20:28,20 days 03:21:49
0 days 00:00:25,0 days 00:00:01,0 days 00:00:01,7 days 05:33:07
0 days 00:00:25,0 days 00:00:01,0 days 02:16:04,11 days 00:52:28
0 days 00:00:13,0 days 00:00:01,0 days 02:19:04,10 days 00:20:42
0 days 00:00:20,0 days 00:00:01,0 days 02:17:07,4 days 05:02:13
0 days 00:00:19,0 days 00:00:00,0 days 02:21:11,3 days 23:41:36
0 days 00:00:17,0 days 00:00:01,0 days 02:18:16,6 days 03:42:36
0 days 00:00:20,0 days 00:00:01,0 days 02:19:50,4 days 19:30:02
0 days 00:00:19,0 days 00:00:01,0 days 02:16:15,11 days 19:27:25
0 days 00:00:21,0 days 00:00:01,0 days 02:16:42,3 days 03:59:36
0 days 00:00:26,0 days 00:00:01,0 days 02:09:31,3 days 06:03:07
0 days 00:00:10,12 days 21:08:18,0 days 03:12:02,5 days 04:15:51
0 days 00:00:21,0 days 00:00:01,0 days 02:04:33,10 days 01:49:09
0 days 00:00:29,0 days 00:00:01,0 days 00:00:02,1 days 01:28:13
0 days 00:00:22,0 days 00:00:01,0 days 01:57:57,20 days 00:15:34
0 days 00:02:37,11 days 21:14:17,0 days 04:58:59,9 days 19:40:11
0 days 00:00:18,0 days 00:00:00,0 days 01:48:36,17 days 21:23:18
0 days 00:00:12,0 days 00:00:01,0 days 01:46:15,32 days 05:51:24
0 days 00:00:20,0 days 00:00:01,0 days 01:45:07,4 days 18:26:04
18 days 05:10:45,18 days 05:10:28,18 days 05:10:29,0 days 00:00:04
0 days 00:00:50,0 days 00:00:01,0 days 01:46:20,7 days 03:46:40
0 days 00:00:16,0 days 00:00:01,27 days 04:16:21,0 days 00:00:07
0 days 00:00:24,0 days 00:00:00,0 days 01:44:47,6 days 03:58:13
0 days 00:00:26,0 days 00:00:01,0 days 01:49:13,10 days 17:53:07
0 days 00:00:23,15 days 03:50:46,0 days 00:00:02,0 days 00:00:06
0 days 00:00:19,0 days 00:00:01,0 days 01:31:04,4 days 00:34:48
0 days 00:00:21,0 days 00:00:01,0 days 01:35:21,18 days 21:45:06
0 days 00:00:15,0 days 00:00:01,0 days 01:32:33,6 days 06:20:24
0 days 00:00:34,0 days 21:04:04,0 days 02:40:02,9 days 03:30:45
0 days 00:01:09,0 days 03:01:20,0 days 02:02:04,20 days 05:33:31
0 days 00:00:22,7 days 22:43:32,0 days 04:08:16,5 days 22:03:22
0 days 00:00:30,0 days 00:00:01,0 days 02:17:50,18 days 02:21:03
0 days 00:00:19,0 days 00:00:01,0 days 02:15:55,6 days 05:38:39
0 days 00:00:08,5 days 02:48:32,1 days 17:38:43,21 days 03:19:14
0 days 00:00:12,0 days 00:00:01,0 days 02:13:29,34 days 23:17:34
0 days 00:00:13,7 days 02:22:48,0 days 00:00:02,0 days 00:00:10
0 days 00:00:14,0 days 00:00:01,0 days 02:12:29,3 days 20:41:00
0 days 00:00:18,0 days 00:00:01,0 days 02:14:55,4 days 01:51:00
0 days 00:00:28,0 days 00:00:00,0 days 00:00:02,19 days 02:25:36
0 days 00:00:15,0 days 00:00:01,0 days 02:09:37,0 days 00:00:05
0 days 00:00:20,0 days 00:00:01,0 days 02:07:02,6 days 04:57:48
0 days 00:00:16,0 days 00:00:01,0 days 02:06:53,4 days 21:11:03
0 days 00:00:15,0 days 00:00:02,0 days 02:03:39,3 days 20:25:12
0 days 00:00:16,0 days 00:00:01,0 days 01:55:15,9 days 23:51:12
0 days 00:00:18,0 days 00:00:01,0 days 02:03:16,0 days 00:00:05
0 days 00:00:28,0 days 00:00:01,0 days 02:02:59,6 days 05:56:23
0 days 00:00:22,0 days 00:00:01,0 days 01:58:50,6 days 05:46:00
0 days 00:00:12,4 days 03:21:15,0 days 16:01:28,6 days 04:04:57
0 days 00:00:22,0 days 00:00:01,0 days 01:59:21,4 days 01:41:52
0 days 00:00:16,0 days 00:00:01,0 days 01:57:11,20 days 00:58:03
0 days 00:00:21,3 days 21:42:43,0 days 03:44:40,3 days 01:30:59
0 days 00:00:34,0 days 00:00:01,0 days 00:00:02,13 days 01:50:25
0 days 00:00:16,0 days 00:00:01,0 days 01:52:14,6 days 21:26:47
83 days 05:33:06,0 days 00:00:01,0 days 00:00:02,0 days 00:00:07
0 days 00:00:08,0 days 23:20:29,0 days 04:46:57,3 days 05:58:55
0 days 00:00:13,0 days 00:00:01,0 days 01:49:25,4 days 02:04:44
0 days 00:00:19,0 days 00:00:02,0 days 01:25:21,3 days 03:32:04
0 days 00:02:55,0 days 00:00:01,0 days 01:33:49,11 days 01:39:45
0 days 00:00:23,0 days 00:00:01,0 days 01:36:13,4 days 01:42:00
0 days 00:03:38,0 days 23:54:40,0 days 04:24:00,1 days 02:28:43
0 days 00:00:25,0 days 00:00:01,35 days 03:03:10,0 days 00:00:05
0 days 00:00:26,0 days 00:00:01,0 days 02:37:20,4 days 01:30:21
0 days 00:00:11,7 days 03:38:15,0 days 18:54:31,25 days 03:25:44
0 days 00:00:18,0 days 00:00:01,0 days 02:28:40,10 days 01:15:03
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,6 days 23:42:06
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,0 days 00:00:15
0 days 00:00:17,0 days 00:00:01,0 days 02:13:04,12 days 19:48:29
0 days 00:00:44,0 days 00:00:01,0 days 02:08:34,11 days 17:17:53
0 days 00:00:19,0 days 00:00:01,0 days 02:07:59,18 days 21:48:05
0 days 00:00:29,0 days 00:00:01,0 days 00:00:01,0 days 00:00:27
0 days 00:00:28,0 days 00:00:01,0 days 02:01:35,3 days 22:47:40
0 days 00:00:13,0 days 00:00:01,0 days 00:00:02,0 days 00:00:04
0 days 00:00:16,0 days 00:00:01,0 days 02:03:36,4 days 01:38:21
0 days 00:00:30,0 days 00:00:01,0 days 01:47:31,27 days 17:50:52
0 days 00:00:06,3 days 23:21:00,0 days 03:37:23,7 days 01:23:44
0 days 00:00:14,0 days 00:00:01,0 days 01:46:41,10 days 18:49:46
0 days 00:00:19,0 days 00:00:00,0 days 02:02:42,4 days 00:50:51
0 days 00:00:19,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:19,0 days 00:00:01,0 days 02:02:55,6 days 20:57:25
0 days 00:00:24,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:17,0 days 00:00:01,0 days 00:00:01,0 days 00:00:09
0 days 00:00:14,0 days 00:00:01,0 days 01:54:31,17 days 03:14:27
0 days 00:00:25,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:33,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:20,0 days 00:00:01,0 days 01:51:38,4 days 04:27:20
0 days 00:00:27,0 days 00:00:01,0 days 00:00:01,0 days 00:00:06
0 days 00:00:19,0 days 00:00:01,0 days 01:44:56,14 days 04:01:21
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:16
0 days 00:00:57,0 days 00:00:01,0 days 01:48:46,10 days 00:01:52
0 days 00:00:21,0 days 00:00:01,0 days 00:00:03,0 days 00:00:18
0 days 00:00:14,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:17,0 days 00:00:01,0 days 01:39:30,19 days 22:38:13
0 days 00:00:27,0 days 00:00:02,0 days 00:00:02,0 days 00:00:19
0 days 00:00:16,0 days 00:00:00,0 days 00:00:02,0 days 00:00:04
0 days 00:00:17,0 days 00:00:02,0 days 00:00:02,0 days 00:00:06
0 days 00:00:44,0 days 00:00:01,0 days 00:00:02,0 days 00:00:30
0 days 00:00:35,0 days 00:00:00,0 days 01:31:16,3 days 05:44:39
0 days 00:00:19,0 days 00:00:00,0 days 00:00:02,0 days 00:00:11
0 days 00:00:45,4 days 01:49:41,0 days 18:07:07,15 days 08:36:01
0 days 00:00:36,3 days 18:03:21,0 days 03:21:02,6 days 22:11:49
0 days 00:04:12,0 days 00:00:01,0 days 00:00:01,0 days 00:03:09
0 days 00:00:12,0 days 00:00:02,0 days 00:00:02,0 days 00:00:12
0 days 00:00:26,0 days 23:15:13,0 days 03:41:06,8 days 02:42:03
0 days 00:00:40,0 days 00:00:01,0 days 01:00:57,10 days 05:18:46
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:25,0 days 00:00:01,0 days 01:59:29,11 days 04:48:56
0 days 00:00:08,0 days 18:29:27,0 days 06:06:47,0 days 00:00:12
0 days 00:00:13,0 days 00:00:01,0 days 18:09:02,7 days 01:14:37
0 days 00:00:17,0 days 00:00:01,0 days 01:59:31,3 days 02:18:44
0 days 00:02:43,0 days 00:00:01,0 days 00:00:02,18 days 03:13:54
0 days 00:00:19,0 days 00:00:01,0 days 00:00:02,0 days 00:00:07
0 days 00:04:08,0 days 00:00:01,0 days 01:53:17,4 days 01:39:50
0 days 00:00:17,0 days 00:00:01,0 days 02:02:44,6 days 05:36:05
0 days 00:00:18,0 days 00:00:01,0 days 02:01:38,3 days 04:00:12
0 days 00:00:12,0 days 00:00:01,0 days 02:08:39,6 days 06:09:20
0 days 00:00:18,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:28,0 days 01:09:33,0 days 16:43:49,34 days 00:34:50
0 days 00:00:22,0 days 00:00:01,0 days 01:49:03,7 days 04:01:27
0 days 00:00:38,0 days 00:00:01,0 days 01:46:26,10 days 02:46:13
0 days 00:00:21,0 days 00:00:02,0 days 02:06:42,18 days 05:46:13
0 days 00:00:18,0 days 00:00:01,0 days 01:56:01,6 days 03:49:40
0 days 00:00:14,0 days 00:00:01,0 days 02:06:35,19 days 05:48:48
0 days 00:00:16,0 days 00:00:01,0 days 02:05:07,21 days 04:12:34
0 days 00:00:15,0 days 00:00:01,0 days 00:00:02,0 days 00:00:04
0 days 00:00:27,0 days 00:00:01,0 days 02:10:25,6 days 04:39:25
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:04
0 days 02:01:38,24 days 03:35:29,0 days 00:00:02,0 days 00:00:06
0 days 00:00:18,0 days 00:00:01,0 days 01:40:21,6 days 04:28:34
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:28
0 days 00:00:13,10 days 17:55:29,0 days 04:44:46,10 days 16:27:32
0 days 00:00:42,0 days 00:00:01,0 days 00:00:02,0 days 00:00:14
0 days 00:00:20,0 days 00:00:01,0 days 17:03:23,5 days 20:55:17
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:09
0 days 00:00:28,0 days 00:00:01,0 days 00:00:02,0 days 00:00:10
0 days 00:00:24,0 days 00:00:01,0 days 16:51:01,3 days 22:05:31
0 days 00:00:20,0 days 00:00:01,0 days 16:53:59,16 days 23:14:54
0 days 00:00:21,0 days 00:00:01,0 days 16:37:12,23 days 19:46:17
0 days 00:00:17,0 days 00:00:01,0 days 16:37:03,6 days 00:59:11
3 days 23:33:37,0 days 21:42:51,1 days 17:39:52,0 days 23:17:01
0 days 00:00:19,0 days 00:00:01,0 days 16:27:26,17 days 07:41:31
0 days 00:00:34,0 days 00:00:02,0 days 16:31:34,21 days 00:33:08
0 days 00:00:24,0 days 00:00:01,0 days 16:27:24,27 days 00:47:47
0 days 00:00:14,0 days 00:00:02,0 days 16:14:30,10 days 00:39:08
0 days 00:00:17,4 days 17:31:57,0 days 03:22:03,11 days 04:32:15
0 days 00:00:20,0 days 00:00:01,0 days 16:15:38,16 days 03:33:09
0 days 00:00:17,0 days 18:47:02,0 days 01:38:58,21 days 22:37:34
0 days 00:00:16,6 days 23:21:13,0 days 18:13:15,27 days 21:04:12
0 days 00:00:22,0 days 18:00:31,0 days 02:04:17,34 days 22:42:21
0 days 00:00:22,0 days 00:00:01,0 days 15:18:39,14 days 13:13:26
0 days 00:00:17,0 days 00:00:01,0 days 15:24:00,6 days 20:33:53
0 days 00:00:45,0 days 00:00:01,0 days 15:22:00,3 days 05:50:50
0 days 00:00:34,5 days 18:06:36,1 days 00:23:17,4 days 23:29:37
0 days 00:00:39,0 days 00:00:01,0 days 14:24:24,3 days 17:28:31
0 days 00:00:29,0 days 00:00:00,0 days 14:19:18,10 days 19:39:25
0 days 00:01:29,0 days 00:00:01,0 days 14:04:56,3 days 06:13:27
0 days 00:00:10,0 days 19:55:00,2 days 17:52:59,1 days 01:09:02
0 days 00:00:21,0 days 00:00:01,0 days 02:47:38,17 days 20:13:45
0 days 00:00:15,0 days 00:00:01,0 days 02:28:31,17 days 22:31:34
0 days 00:00:14,0 days 00:00:00,0 days 02:24:08,2 days 20:41:00
0 days 00:01:37,0 days 00:00:01,0 days 02:40:12,9 days 20:42:27
0 days 00:00:12,0 days 00:00:01,0 days 02:12:08,5 days 22:02:04
0 days 00:00:21,0 days 00:00:01,0 days 02:05:09,0 days 00:00:09
0 days 00:00:15,0 days 00:00:01,0 days 05:55:54,18 days 01:16:56
0 days 00:00:12,0 days 00:00:01,0 days 01:47:10,10 days 08:07:34
0 days 00:00:18,0 days 00:00:01,0 days 01:43:55,5 days 23:17:22
0 days 00:00:18,0 days 00:00:01,0 days 01:31:06,7 days 00:06:24
0 days 00:00:23,0 days 00:00:01,0 days 01:39:24,3 days 05:14:38
0 days 00:00:15,0 days 00:00:01,0 days 01:36:10,2 days 20:59:25
0 days 00:00:13,0 days 00:00:01,0 days 01:33:39,17 days 19:21:47
0 days 00:00:21,0 days 00:00:01,0 days 01:32:24,9 days 23:58:35
0 days 00:00:17,0 days 00:00:01,0 days 01:27:22,7 days 02:57:20
0 days 00:00:28,0 days 00:00:01,0 days 01:26:07,7 days 02:32:01
0 days 00:00:18,0 days 00:00:01,0 days 01:30:37,7 days 02:35:35
0 days 00:00:18,0 days 00:00:01,0 days 01:25:37,13 days 19:59:15
0 days 00:00:28,0 days 00:00:01,0 days 01:15:22,17 days 22:56:35
0 days 00:00:15,0 days 00:00:01,0 days 01:15:27,9 days 02:01:39
0 days 00:00:45,0 days 00:00:01,0 days 01:13:53,7 days 06:51:00
0 days 00:00:13,0 days 00:00:01,0 days 01:13:29,32 days 20:44:08
0 days 00:00:14,0 days 00:00:01,0 days 01:10:50,17 days 00:30:07
0 days 00:00:26,0 days 00:00:01,0 days 01:13:20,4 days 03:12:25
0 days 00:00:22,0 days 00:00:01,0 days 01:10:32,36 days 07:00:19
0 days 00:00:16,0 days 00:00:01,0 days 01:03:04,11 days 19:38:42
0 days 00:00:54,0 days 00:00:01,0 days 02:47:18,18 days 22:09:49
0 days 00:00:15,0 days 00:00:01,0 days 02:38:16,17 days 23:52:48
0 days 00:00:25,0 days 00:00:01,13 days 05:12:57,4 days 09:38:47
0 days 00:00:16,0 days 00:00:01,0 days 02:36:48,24 days 22:26:40
0 days 00:03:58,0 days 00:00:01,0 days 02:09:13,25 days 21:57:25
0 days 00:00:13,0 days 00:00:01,0 days 02:12:24,0 days 00:00:04
0 days 00:00:14,0 days 00:00:01,0 days 03:48:10,2 days 21:31:44
0 days 00:00:20,0 days 00:00:01,0 days 03:46:57,6 days 00:26:17
0 days 00:00:15,0 days 00:00:01,0 days 03:46:05,29 days 01:45:57
0 days 00:00:18,0 days 00:00:01,0 days 03:43:43,7 days 00:32:33
0 days 00:00:16,0 days 00:00:01,0 days 06:10:28,11 days 23:02:03
0 days 00:00:19,0 days 00:00:01,0 days 03:49:01,13 days 20:03:47
0 days 00:00:12,0 days 00:00:01,0 days 03:48:17,5 days 23:59:48
0 days 00:00:40,3 days 04:26:46,0 days 18:30:09,1 days 04:50:28
0 days 00:00:16,0 days 00:00:01,0 days 01:43:05,3 days 05:53:40
0 days 00:00:23,0 days 00:00:01,0 days 01:40:22,28 days 00:01:19
0 days 00:00:24,0 days 00:00:01,0 days 01:40:20,38 days 06:44:04
0 days 00:00:17,0 days 00:00:01,0 days 03:31:28,24 days 06:41:17
0 days 00:00:19,0 days 00:00:01,0 days 01:44:42,23 days 21:01:44
0 days 00:00:18,0 days 00:00:01,0 days 01:43:50,3 days 21:09:14
0 days 00:01:25,3 days 04:29:15,0 days 16:52:15,12 days 00:31:18
0 days 00:00:28,3 days 05:06:53,0 days 18:04:32,5 days 19:27:38
0 days 00:00:54,4 days 05:48:19,1 days 19:19:10,10 days 03:16:36
59 days 23:21:11,0 days 00:00:01,0 days 06:26:44,44 days 18:55:15
0 days 00:00:08,2 days 21:58:22,0 days 03:11:26,8 days 00:10:42
0 days 00:00:20,0 days 00:00:01,0 days 01:16:17,3 days 06:14:41
0 days 00:00:15,0 days 00:00:01,0 days 01:15:54,16 days 01:58:00
0 days 00:00:11,0 days 00:00:01,0 days 00:00:01,7 days 03:09:10
0 days 00:00:24,0 days 00:00:01,0 days 01:13:52,18 days 18:39:03
0 days 00:01:13,0 days 00:00:01,0 days 01:11:10,18 days 00:25:02
0 days 00:00:11,31 days 04:46:04,0 days 00:00:02,0 days 00:00:14
0 days 00:00:21,0 days 00:00:01,0 days 01:01:35,0 days 00:00:08
0 days 00:00:16,0 days 00:00:01,0 days 01:03:08,0 days 23:52:33
0 days 00:01:58,3 days 06:02:32,0 days 18:23:30,15 days 03:37:56
0 days 00:01:49,0 days 00:00:01,0 days 00:00:02,0 days 00:00:11
0 days 00:00:26,0 days 00:00:01,0 days 05:26:52,2 days 21:29:43
0 days 00:00:07,0 days 00:00:01,0 days 00:00:01,6 days 04:21:04
0 days 00:01:31,0 days 00:00:01,0 days 05:29:10,16 days 23:11:52
0 days 00:00:18,0 days 00:00:01,0 days 05:22:16,17 days 22:48:37
0 days 00:00:57,0 days 03:55:48,2 days 17:14:33,7 days 19:45:29
0 days 00:00:33,0 days 00:00:01,0 days 05:18:56,3 days 05:36:48
0 days 00:00:28,10 days 02:18:40,0 days 00:00:01,0 days 00:00:04
0 days 00:00:16,0 days 00:00:01,0 days 05:10:37,13 days 18:49:47
0 days 00:00:24,0 days 00:00:01,0 days 05:26:15,3 days 05:24:16
0 days 00:00:09,10 days 04:34:58,0 days 20:02:19,7 days 18:42:14
0 days 00:00:45,0 days 00:00:00,0 days 04:58:09,25 days 19:15:02
0 days 00:00:09,9 days 23:13:59,0 days 04:53:25,7 days 18:56:47
0 days 00:00:15,0 days 00:00:01,0 days 01:47:59,3 days 04:25:35
0 days 00:00:23,0 days 00:00:01,0 days 01:39:10,20 days 19:07:08
0 days 00:00:43,0 days 00:00:01,0 days 00:00:01,0 days 00:00:08
0 days 00:00:16,5 days 20:31:16,0 days 05:33:37,2 days 17:23:35
0 days 00:01:44,0 days 00:00:01,0 days 04:41:12,7 days 02:13:08
0 days 00:00:18,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:19,0 days 00:00:01,0 days 03:49:37,1 days 00:46:34
0 days 00:00:17,0 days 00:00:01,0 days 04:35:30,8 days 03:42:48
0 days 00:00:38,0 days 00:00:01,0 days 04:42:32,24 days 08:20:04
0 days 00:00:31,3 days 22:21:30,0 days 02:41:00,11 days 04:37:13
0 days 00:00:28,0 days 00:00:01,0 days 04:40:03,29 days 06:54:22
0 days 00:01:06,0 days 00:00:01,0 days 00:00:02,32 days 04:17:28
0 days 00:00:12,0 days 00:00:01,0 days 04:31:25,11 days 18:46:49
0 days 00:00:36,3 days 01:43:07,0 days 17:52:28,7 days 00:52:13
0 days 00:00:56,0 days 00:00:01,0 days 00:00:02,9 days 23:10:02
0 days 04:37:06,0 days 00:00:01,0 days 00:00:11,4 days 02:22:23
0 days 00:00:18,0 days 00:00:00,0 days 04:07:42,3 days 04:33:37
0 days 00:00:19,0 days 00:00:01,0 days 04:23:03,18 days 00:22:51
0 days 00:00:23,0 days 00:00:01,0 days 04:35:33,1 days 03:46:37
0 days 00:00:28,4 days 02:07:02,1 days 17:38:11,0 days 19:37:41
0 days 00:00:24,0 days 00:00:01,0 days 04:19:15,7 days 01:58:08
0 days 00:00:34,4 days 01:22:43,1 days 18:33:53,2 days 20:00:18
0 days 00:00:20,5 days 21:42:15,0 days 21:57:11,10 days 21:42:30
0 days 00:00:16,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:01:05,3 days 02:56:42,0 days 18:45:45,15 days 07:38:54
0 days 00:00:24,0 days 00:00:01,0 days 04:17:39,1 days 05:51:24
0 days 00:00:29,0 days 00:00:01,0 days 00:00:03,0 days 00:00:05
0 days 00:00:16,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:20,0 days 00:00:01,0 days 03:53:08,14 days 13:54:17
0 days 00:00:26,0 days 00:00:01,2 days 18:52:21,14 days 05:44:07
0 days 00:00:35,0 days 00:00:01,2 days 20:58:32,13 days 17:35:26
0 days 00:00:38,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:20,0 days 00:00:01,0 days 18:23:19,4 days 01:07:51
0 days 00:00:15,0 days 00:00:01,2 days 18:18:57,3 days 06:11:59
0 days 00:00:15,0 days 00:00:01,2 days 21:03:58,13 days 03:19:51
0 days 00:00:14,3 days 22:19:03,0 days 00:00:01,0 days 00:00:06
0 days 00:00:17,0 days 00:00:01,2 days 21:21:37,43 days 00:13:15
0 days 00:00:16,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:00:10,0 days 02:35:23,2 days 17:50:17,8 days 18:23:44
0 days 00:00:44,0 days 00:00:01,2 days 21:07:35,7 days 19:31:29
0 days 00:00:18,0 days 00:00:01,0 days 00:00:02,0 days 00:00:19
0 days 00:00:43,0 days 00:00:02,0 days 00:00:02,0 days 00:00:12
0 days 00:00:25,0 days 00:00:01,0 days 00:00:01,20 days 21:10:42
0 days 00:00:21,0 days 00:00:00,0 days 00:00:01,0 days 00:00:06
0 days 00:00:15,0 days 00:00:01,0 days 00:00:02,0 days 00:02:00
0 days 00:01:07,0 days 00:00:01,0 days 00:00:02,0 days 00:00:55
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:20,3 days 20:17:43,0 days 02:58:43,13 days 03:20:08
0 days 00:00:17,0 days 00:00:01,0 days 03:41:30,0 days 03:42:18
0 days 00:00:59,0 days 00:00:01,0 days 00:00:01,0 days 00:00:13
0 days 00:00:26,0 days 00:00:01,0 days 03:36:31,9 days 03:05:26
0 days 00:00:18,0 days 00:00:01,0 days 03:35:06,8 days 00:52:28
0 days 00:00:17,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:21,0 days 00:00:01,0 days 00:00:02,0 days 00:00:14
0 days 00:00:28,0 days 00:00:01,0 days 03:36:23,7 days 01:09:24
0 days 00:00:18,0 days 00:00:01,0 days 03:38:10,31 days 05:06:40
0 days 00:00:22,0 days 00:00:01,0 days 00:00:01,0 days 00:00:06
0 days 00:00:13,0 days 00:00:01,0 days 03:35:18,3 days 05:25:59
